"Brand_Description....brandDescription","Number_of_Reviews....numReviews","Price....price","Number_of_Stars....numStars"
"2 Port USB 3.0 Quad Monitor KVM Switch HDMI 2.1 8K@60Hz 4K@144Hz with Audio Output and All Input Cable, 2 PCs 4 Monitors Video Keyboard Mouse Peripheral Sharing Switcher","129","369.","3.7 out of 5 stars"
"8K KVM Switch HDMI 2 Port Box, USB 3.0 USB and HDMI Switch Selector for 2 Computers Share Keyboard Mouse Printer and one HD Monitor, Support UHD 8K@60Hz with Remote Controller","1","59.","5.0 out of 5 stars"
"KVM Switch Displayport 4 Port, Yinker 4K@60Hz DP KVM Switch 4 in 1 Out 4 Computers 1 Monitor Switch with Cables， Hotkey，Wired Selector, 4 USB Hubs","4","85.","4.3 out of 5 stars"
"Portable 2TB External Hard Drive HDD — USB 3.0 for PC, Mac, PlayStation, & Xbox -1-Year Rescue Service (STGX2000400)","238,579","67.","4.7 out of 5 stars"
"Storage Expansion Card For Xbox Series XS 1TB Solid State Drive - NVMe Expansion SSD, Quick Resume, Plug & Play, Licensed(STJR1000400)","17,392","149.","4.8 out of 5 stars"
"2TB Extreme Portable SSD - Up to 1050MB/s, USB-C, USB 3.2 Gen 2, IP65 Water and Dust Resistance, Updated Firmware - External Solid State Drive - SDSSDE61-2T00-G25","55,327","149.","4.6 out of 5 stars"
"Canvio Basics 2TB Portable External Hard Drive USB 3.0, Black - HDTB520XK3AA","74,424","66.","4.7 out of 5 stars"
"WD 5TB Elements Portable HDD, External Hard Drive, USB 3.0 for PC & Mac, Plug and Play Ready - WDBU6Y0050BBK-WESN","267,009","119.","4.7 out of 5 stars"
"T7 Shield 4TB Portable SSD - 1050MB/s, Rugged, Water & Dust Resistant, for Content Creators - Black","10,533","299.","4.7 out of 5 stars"
"External DVD Drive, USB 3.0 Portable +/-RW , DVD Player for CD ROM Burner Compatible with Laptop Desktop PC Windows Linux OS Apple Mac Black","54,011","19.","4.2 out of 5 stars"
"1TB C50 Expansion Card, Officially Licensed for Xbox– Quick Resume, Plug & Play, NVMe SSD Expansion for Xbox Series X|S Gaming Consoles- WDBMPH0010BNC-WCSN","2,172","149.","4.8 out of 5 stars"
