"","Movie_Title","Title","User","Date","Content","Stars"
"1","x"," terrible","davish_wulf-1",2022-04-24,"it isn't a porno movie, it isn't an erotic movie, it isn't an horror or suspenceful movie.it isn't anything, but a total waste of time.takes too long for anything to finally happen and when it does, it is totally predictable.what a terrible waste of time watching sex clichés, exagerated old age stereotypes and a complete lack of suspence, horror or anything worthwile.why even bother wasting money or time filming this?",1
"2","x"," a fun throwback to 70's slashers","adotson-98233",2022-03-19,"""x"" is a very bloody, and satisfying horror film from a24 that is able to pack enough scary moments, while also talking it's time to develop its characters.the good in this movie right off the bat is the performances. everyone in the movie is great. the standouts here are mia goth and jenna ortega. these two were great. the movie also has a really strong message about sex and what it really means for these people. it's a very strong message and it works. the gore here is also great. it's a very bloody movie and the final 40 minutes are amazing. it's also a very good looking movie. it's very well shot and there's a lot of creepiness to it. and finally i actually felt that the villains in this movie were actually very well portrayed. they were given a somewhat tragic issue, and it really added a lot to them.now i do have a few negatives. the first being that i do wish there was a little more crazy moments. i wish the movie had just a little more bloody moments. i also felt that the first act, while good, was a little too slow paced. i wish it do move a lot faster. and finally there are some things aren't fully explained towards the end.overall ""x"" is a very bloody good time with great acting, great direction, and some truly bloody moments.",8
"3","x"," indecent slasher movie","supermellowcali",2022-04-18,"a verrrrry slow first hour, then murder with slow, silly mistakes. overall good low-budget production but without payoff unless you like murder without sense and little story.",3
"4","x"," gross and weird, not in a good way","feastmode",2022-03-18,"this is a technically well-made movie. it's a slow burn but i was never bored. i was enjoying it and curious to see what comes next. until it got weird. and gross. this is coming from someone who watches tons of horror and gore. that wasn't the problem. the gore is one of the movie's best qualities.but the direction they take with some of the ""horror"" late in the movie is off-putting. i understand what they are going for. i understand that's the point. and the point does come across. it still doesn't change how i felt. which was unsettled, not scared.some people might like that type of ""horror"" (like gabe from the office lol). i am not one of those people. it's unfortunate because it's a good setup that just doesn't land for me. (1 viewing, opening night 3/17/2022)",5
"5","x"," porn parody?","billcr12",2022-04-15,"a man looking for a get rich quick scheme decides to make a porn film on a texas ranch in the video days of 1979. the place is owned by a creepy old couple who look like ma and pa kettle. the old lady is both horny and violent and a scene with geriatric peop!e getting busy is downright bizarre. the leads are fine but x is only an average horror movie.",5
"6","x"," atrocious!","go_for_the_jugular",2022-04-23,"nothing like i expected it to be.i was aware that there was a pornographic element, but i think it focused too much on that.i was expecting them to get caught mid-scene...and then spend the remainder of the film running away from an unknown killer, that picks them all off one-by-one.but the killing doesn't start until well into the 2nd act...and from that point onwards, the film just drags. it's also really dark, so it's hard to tell what's going on a lot of the time.the killings are boring and unoriginal.the cast are dull and lacklustre.the cinematography is basic and the sound is terrible - especially the weird sound they play for the jump scares.hated this and now i hate all the people involved.absolute wasters!",1
"7","x"," tedious, boring, repulsive","rickinator69",2022-04-18,"this was a 7.3 with 15k voters when i first looked, a 7 when i watched and it's been dropping steadily. i just went through all 300+ reviews, hitting yes and no as it pertained to each. i'm guessing most if not all of the sparkling reviews, of which there are a ton, are fake.at least 30 minutes was of nothing happening, with long, slow, boring shots. it was barely interesting and towards the end became repugnant and repelling. the old man effects just looked dumb. the fact that this has so many 7-10 ratings and all the fake reviews is just sad. i watched because i liked west's cabin fever 2 and the sacrament; this was nowhere near as good.",1
"8","x"," x hits the spot","kosmasp",2022-04-09,"ti west is back - i have to admit since we had a pandemic i didn't really think or realize he was gone. something i only heard from others that this is his ""comeback"" piece. again not how i view it, but nevermind that, enjoy this horror movie that also has a sexual tone to it ... and quite a lot of innuendo.the sex is not just there to titilate of course (although i was more than surprised to see brittany snow show what she is blessed with), no it serves the story and especially one of the many themes we have here. there is a discussion about being young, living life to the fullest or at least to an extent that makes one happy. before you get old and have too many regrets. young vs old is something you could say. but the less you know going in, the better you will be able to receive.the acting is good and not just from the clearly younger people in old age makeup (look at in the credits who is playing the woman if you have not realized it while you were watching). effects are top notch, though not for the faint hearted ... you cannot be too squeamish.go in this ride, that while a serious slasher, is not with a touch (or more) of dark humor. and if you read some innuendo in what i just wrote ... well you may not be entirely wrong about coming ... to that conclusion.",9
"9","x"," horrors are meant to be scary","africanbro",2022-09-17,"i was about to go see pearl then read that it's based on x in the synopsis so i thought i should view this first. and the fact that a second movie was released so soon after it's first gave me hope. it's not as good as i expected but i don't think it could have been that much better. my concept of horror is a movie that's supposed to scare you and this really doesn't; it's becoming more common for movies to throw in a couple gory scenes and death then labeling it horror. can't call it a thriller either 'cause it didn't have me at the edge of my seat. the premise is pretty original i'll give it that but it's just not scary. should be executed better. it's slow paced so it feels like it's building up to something and when it comes it's all over pretty quickly and i never really felt any tension in the life or death scenes. i didn't care for any of the characters either. more effort was put into the adult movie being made than put into actually frightening you.the directors artistic abilities are there, trying to have the same feel as old slasher movies from the 70's. it's pretty forgettable and horror movies shouldn't be, they should make you wanna sleep with the light on. if anything the only reason i'll have trouble sleeping at night is getting the image of two grotesquely old people have sex. when the credits rolled i was trying to recall what made me think this was going to be good.",4
"10","x"," filmmaker ti west's valentine to '70s horror works its grind house magic.","george.schmidt",2022-04-08,"x (2022) ***1/2 mia goth, jenny ortega, brittany snow, kid cudi, martin henderson, owen campbell, stephen ure. filmmaker ti west's valentine to '70s horror works its grind house magic with a foreboding tale about a group of friends circa 1979 who embark on a road trip to film a porno and get more than they bargained for while setting up shop on a creepy elderly couple's texas farm in the middle of nowhere. the genre tropes are all there - the tension, eerie camera shots (thanks to cinematographer eliot rockett), grungy atmosphere (production designer tom hammock has a field day), a spooky sound design (by graham reznick) and genuinely unsettling make-up (designed with craft and skill by a team led by michael kenna). a fine ensemble with a surprising double role for goth (as the lead actress with stardom in her eyes and the more than she seems old lady) keeps you glued to the screen with each moment of dread.",8
