Movie_Title,Title,User,Date,Content,Stars
X," Terrible
",davish_wulf-1,24-Apr-22,"It isn't a porno movie, it isn't an erotic movie, it isn't an horror or suspenceful movie.It isn't anything, but a total waste of time.Takes too long for anything to finally happen and when it does, it is totally predictable.What a terrible waste of time watching sex clichés, exagerated old age stereotypes and a complete lack of suspence, horror or anything worthwile.Why even bother wasting money or time filming this?","
            
            1/10
            
    "
X," A fun throwback to 70's slashers
",adotson-98233,19-Mar-22,"""X"" is a very bloody, and satisfying horror film from A24 that is able to pack enough scary moments, while also talking it's time to develop its characters.The good in this movie right off the bat is the performances. Everyone in the movie is great. The standouts here are Mia Goth and Jenna Ortega. These two were great. The movie also has a really strong message about sex and what it really means for these people. It's a very strong message and it works. The gore here is also great. It's a very bloody movie and the final 40 minutes are amazing. It's also a very good looking movie. It's very well shot and there's a lot of creepiness to it. And finally I actually felt that the villains in this movie were actually very well portrayed. They were given a somewhat tragic issue, and it really added a lot to them.Now I do have a few negatives. The first being that I do wish there was a little more crazy moments. I wish the movie had just a little more bloody moments. I also felt that the first act, while good, was a little too slow paced. I wish it do move a lot faster. And finally there are some things aren't fully explained towards the end.Overall ""X"" is a very bloody good time with great acting, great direction, and some truly bloody moments.","
            
            8/10
            
    "
X," Indecent slasher movie
",supermellowcali,18-Apr-22,"A verrrrry slow first hour, then murder with slow, silly mistakes. Overall good low-budget production but without payoff unless you like murder without sense and little story.","
            
            3/10
            
    "
X," Gross and weird, not in a good way
",FeastMode,18-Mar-22,"This is a technically well-made movie. It's a slow burn but I was never bored. I was enjoying it and curious to see what comes next. Until it got weird. And gross. This is coming from someone who watches tons of horror and gore. That wasn't the problem. The gore is one of the movie's best qualities.But the direction they take with some of the ""horror"" late in the movie is off-putting. I understand what they are going for. I understand that's the point. And the point does come across. It still doesn't change how I felt. Which was unsettled, not scared.Some people might like that type of ""horror"" (like Gabe from The Office lol). I am not one of those people. It's unfortunate because it's a good setup that just doesn't land for me. (1 viewing, opening night 3/17/2022)","
            
            5/10
            
    "
X," Porn Parody?
",billcr12,15-Apr-22,A man looking for a get rich quick scheme decides to make a porn film on a Texas ranch in the video days of 1979. The place is owned by a creepy old couple who look like ma and pa kettle. The old lady is both horny and violent and a scene with geriatric peop!e getting busy is downright bizarre. The leads are fine but X is only an average horror movie.,"
            
            5/10
            
    "
X," Atrocious!
",Go_For_The_Jugular,23-Apr-22,"Nothing like I expected it to be.I was aware that there was a pornographic element, but I think it focused too much on that.I was expecting them to get caught mid-scene...and then spend the remainder of the film running away from an unknown killer, that picks them all off one-by-one.But the killing doesn't start until well into the 2nd act...and from that point onwards, the film just drags. It's also really dark, so it's hard to tell what's going on a lot of the time.The killings are boring and unoriginal.The cast are dull and lacklustre.The cinematography is basic and the sound is terrible - especially the weird sound they play for the jump scares.Hated this and now I hate all the people involved.Absolute wasters!","
            
            1/10
            
    "
X," Tedious, boring, repulsive
",Rickinator69,18-Apr-22,"This was a 7.3 with 15k voters when I first looked, a 7 when I watched and it's been dropping steadily. I just went through all 300+ reviews, hitting yes and no as it pertained to each. I'm guessing most if not all of the sparkling reviews, of which there are a ton, are fake.At least 30 minutes was of nothing happening, with long, slow, boring shots. It was barely interesting and towards the end became repugnant and repelling. The old man effects just looked dumb. The fact that this has so many 7-10 ratings and all the fake reviews is just sad. I watched because I liked West's Cabin Fever 2 and The Sacrament; this was nowhere near as good.","
            
            1/10
            
    "
X," X hits the spot
",kosmasp,09-Apr-22,"Ti West is back - I have to admit since we had a pandemic I didn't really think or realize he was gone. Something I only heard from others that this is his ""comeback"" piece. Again not how I view it, but nevermind that, enjoy this horror movie that also has a sexual tone to it ... and quite a lot of innuendo.The sex is not just there to titilate of course (although I was more than surprised to see Brittany Snow show what she is blessed with), no it serves the story and especially one of the many themes we have here. There is a discussion about being young, living life to the fullest or at least to an extent that makes one happy. Before you get old and have too many regrets. Young vs old is something you could say. But the less you know going in, the better you will be able to receive.The acting is good and not just from the clearly younger people in old age makeup (look at in the credits who is playing the woman if you have not realized it while you were watching). Effects are top notch, though not for the faint hearted ... you cannot be too squeamish.Go in this ride, that while a serious slasher, is not with a touch (or more) of dark humor. And if you read some innuendo in what I just wrote ... well you may not be entirely wrong about coming ... to that conclusion.","
            
            9/10
            
    "
X," Horrors are meant to be scary
",AfricanBro,17-Sep-22,"I was about to go see Pearl then read that it's based on X in the synopsis so I thought I should view this first. And the fact that a second movie was released so soon after it's first gave me hope. It's not as good as I expected but I don't think it could have been that much better. My concept of horror is a movie that's supposed to scare you and this really doesn't; it's becoming more common for movies to throw in a couple gory scenes and death then labeling it horror. Can't call it a thriller either 'cause it didn't have me at the edge of my seat. The premise is pretty original I'll give it that but it's just not scary. Should be executed better. It's slow paced so it feels like it's building up to something and when it comes it's all over pretty quickly and I never really felt any tension in the life or death scenes. I didn't care for any of the characters either. More effort was put into the adult movie being made than put into actually frightening you.The directors artistic abilities are there, trying to have the same feel as old slasher movies from the 70's. It's pretty forgettable and horror movies shouldn't be, they should make you wanna sleep with the light on. If anything the only reason I'll have trouble sleeping at night is getting the image of two grotesquely old people have sex. When the credits rolled I was trying to recall what made me think this was going to be good.","
            
            4/10
            
    "
X," Filmmaker Ti West's valentine to '70s horror works its grind house magic.
",george.schmidt,08-Apr-22,"X (2022) ***1/2 Mia Goth, Jenny Ortega, Brittany Snow, Kid Cudi, Martin Henderson, Owen Campbell, Stephen Ure. Filmmaker Ti West's valentine to '70s horror works its grind house magic with a foreboding tale about a group of friends circa 1979 who embark on a road trip to film a porno and get more than they bargained for while setting up shop on a creepy elderly couple's Texas farm in the middle of nowhere. The genre tropes are all there - the tension, eerie camera shots (thanks to cinematographer Eliot Rockett), grungy atmosphere (production designer Tom Hammock has a field day), a spooky sound design (by Graham Reznick) and genuinely unsettling make-up (designed with craft and skill by a team led by Michael Kenna). A fine ensemble with a surprising double role for Goth (as the lead actress with stardom in her eyes and the more than she seems old lady) keeps you glued to the screen with each moment of dread.","
            
            8/10
            
    "
X," 2 words: TI WEST
",pensacolacomputer,14-Apr-22,"The movie is not a 1, but it DEFINITELY is NOT a 7.3, which is the score at the time of this review. Not to mention a 96% at ROTTEN TOMATOES...yes 96% LOL!!Yes, this is a typical Ti West movie (which I did not know until after I saw it). Now it makes PERFECT sense why its so horrible. His movies are always CRAP.THANK GOD I did not see this in the theater. THANK GOD I did not pay for this. I would have been really upset. But even for free I still feel like I paid something for it...like my time.1/10 Another HORRIBLE TI WEST ""film""","
            
            1/10
            
    "
X," Horrorable!
",greggman,17-Apr-22,"This movie was just a bunch crap strung together with random scenes meant to try to make it seem better than it is.The first half of the movie nothing happens (6 people make a porno) and is entirely unrelated to the second half.There's a musical interlude for no reason. I can only guess it's there because Brittany Snow, from Pitch Perfect is in it and she wanted a chance to sing.Then, 2 old people, who can barely seem to move, end up slaughtering everyone, for basically no reason. I guess they're just supposed to be crazy insane. (not a spoiler as it's in the trailer)I liked It Follows. I can't say I liked Color Out of Space but it at least liked that it was trying something different. I didn't like Brightburn. I loved Green Room. I hated this movie!","
            
            1/10
            
    "
X," I will not accept a life I do not deserve
",nogodnomasters,17-Apr-22,"In 1979 a group of people rent a cabin to make an adult film in rural Texas. The owner is less than pleased and has issues of his own with his wife.The film is over-hyped. It does have two creepy looking old people who look like something out of Texas Chainsaw. The soundtrack was top rate, as is anything that includes Mungo Jerry. It also has the throwback nudity many horror films have started to avoid. This film reminded me of ""Bread Crumbs.""Guide: F-word, sex, nudity (Mia Goth, Brittany Snow)","
            
            6/10
            
    "
